Dataset,URL,File
Statmt-news_commentary-14-deu-eng,http://data.statmt.org/news-commentary/v14/training/news-commentary-v14.de-en.tsv.gz,
Statmt-news_commentary-14-eng-spa,http://data.statmt.org/news-commentary/v14/training/news-commentary-v14.en-es.tsv.gz,
Statmt-news_commentary-14-eng-fra,http://data.statmt.org/news-commentary/v14/training/news-commentary-v14.en-fr.tsv.gz,
Statmt-news_commentary-14-eng-hin,http://data.statmt.org/news-commentary/v14/training/news-commentary-v14.en-hi.tsv.gz,
Statmt-news_commentary-14-eng-ind,http://data.statmt.org/news-commentary/v14/training/news-commentary-v14.en-id.tsv.gz,
Statmt-news_commentary-14-eng-ita,http://data.statmt.org/news-commentary/v14/training/news-commentary-v14.en-it.tsv.gz,
Statmt-news_commentary-14-eng-jpn,http://data.statmt.org/news-commentary/v14/training/news-commentary-v14.en-ja.tsv.gz,
Statmt-news_commentary-14-eng-kaz,http://data.statmt.org/news-commentary/v14/training/news-commentary-v14.en-kk.tsv.gz,
Statmt-news_commentary-14-eng-nld,http://data.statmt.org/news-commentary/v14/training/news-commentary-v14.en-nl.tsv.gz,
Statmt-news_commentary-14-eng-por,http://data.statmt.org/news-commentary/v14/training/news-commentary-v14.en-pt.tsv.gz,
Statmt-news_commentary-14-eng-rus,http://data.statmt.org/news-commentary/v14/training/news-commentary-v14.en-ru.tsv.gz,
Statmt-news_commentary-14-eng-zho,http://data.statmt.org/news-commentary/v14/training/news-commentary-v14.en-zh.tsv.gz,
Statmt-news_commentary-15-ara-eng,http://data.statmt.org/news-commentary/v15/training/news-commentary-v15.ar-en.tsv.gz,
Statmt-news_commentary-15-ces-eng,http://data.statmt.org/news-commentary/v15/training/news-commentary-v15.cs-en.tsv.gz,
Statmt-news_commentary-15-deu-eng,http://data.statmt.org/news-commentary/v15/training/news-commentary-v15.de-en.tsv.gz,
Statmt-news_commentary-15-eng-spa,http://data.statmt.org/news-commentary/v15/training/news-commentary-v15.en-es.tsv.gz,
Statmt-news_commentary-15-eng-fra,http://data.statmt.org/news-commentary/v15/training/news-commentary-v15.en-fr.tsv.gz,
Statmt-news_commentary-15-eng-hin,http://data.statmt.org/news-commentary/v15/training/news-commentary-v15.en-hi.tsv.gz,
Statmt-news_commentary-15-eng-ind,http://data.statmt.org/news-commentary/v15/training/news-commentary-v15.en-id.tsv.gz,
Statmt-news_commentary-15-eng-ita,http://data.statmt.org/news-commentary/v15/training/news-commentary-v15.en-it.tsv.gz,
Statmt-news_commentary-15-eng-jpn,http://data.statmt.org/news-commentary/v15/training/news-commentary-v15.en-ja.tsv.gz,
Statmt-news_commentary-15-eng-kaz,http://data.statmt.org/news-commentary/v15/training/news-commentary-v15.en-kk.tsv.gz,
Statmt-news_commentary-15-eng-nld,http://data.statmt.org/news-commentary/v15/training/news-commentary-v15.en-nl.tsv.gz,
Statmt-news_commentary-15-eng-por,http://data.statmt.org/news-commentary/v15/training/news-commentary-v15.en-pt.tsv.gz,
Statmt-news_commentary-15-eng-rus,http://data.statmt.org/news-commentary/v15/training/news-commentary-v15.en-ru.tsv.gz,
Statmt-news_commentary-15-eng-zho,http://data.statmt.org/news-commentary/v15/training/news-commentary-v15.en-zh.tsv.gz,
Statmt-news_commentary-16-ara-eng,http://data.statmt.org/news-commentary/v16/training/news-commentary-v16.ar-en.tsv.gz,
Statmt-news_commentary-16-ces-eng,http://data.statmt.org/news-commentary/v16/training/news-commentary-v16.cs-en.tsv.gz,
Statmt-news_commentary-16-deu-eng,http://data.statmt.org/news-commentary/v16/training/news-commentary-v16.de-en.tsv.gz,
Statmt-news_commentary-16-eng-spa,http://data.statmt.org/news-commentary/v16/training/news-commentary-v16.en-es.tsv.gz,
Statmt-news_commentary-16-eng-fra,http://data.statmt.org/news-commentary/v16/training/news-commentary-v16.en-fr.tsv.gz,
Statmt-news_commentary-16-eng-hin,http://data.statmt.org/news-commentary/v16/training/news-commentary-v16.en-hi.tsv.gz,
Statmt-news_commentary-16-eng-ind,http://data.statmt.org/news-commentary/v16/training/news-commentary-v16.en-id.tsv.gz,
Statmt-news_commentary-16-eng-ita,http://data.statmt.org/news-commentary/v16/training/news-commentary-v16.en-it.tsv.gz,
Statmt-news_commentary-16-eng-jpn,http://data.statmt.org/news-commentary/v16/training/news-commentary-v16.en-ja.tsv.gz,
Statmt-news_commentary-16-eng-kaz,http://data.statmt.org/news-commentary/v16/training/news-commentary-v16.en-kk.tsv.gz,
Statmt-news_commentary-16-eng-nld,http://data.statmt.org/news-commentary/v16/training/news-commentary-v16.en-nl.tsv.gz,
Statmt-news_commentary-16-eng-por,http://data.statmt.org/news-commentary/v16/training/news-commentary-v16.en-pt.tsv.gz,
Statmt-news_commentary-16-eng-rus,http://data.statmt.org/news-commentary/v16/training/news-commentary-v16.en-ru.tsv.gz,
Statmt-news_commentary-16-eng-zho,http://data.statmt.org/news-commentary/v16/training/news-commentary-v16.en-zh.tsv.gz,
Statmt-news_commentary-17-ara-eng,http://data.statmt.org/news-commentary/v17/training/news-commentary-v17.ar-en.tsv.gz,
Statmt-news_commentary-17-ces-eng,http://data.statmt.org/news-commentary/v17/training/news-commentary-v17.cs-en.tsv.gz,
Statmt-news_commentary-17-deu-eng,http://data.statmt.org/news-commentary/v17/training/news-commentary-v17.de-en.tsv.gz,
Statmt-news_commentary-17-eng-spa,http://data.statmt.org/news-commentary/v17/training/news-commentary-v17.en-es.tsv.gz,
Statmt-news_commentary-17-eng-fra,http://data.statmt.org/news-commentary/v17/training/news-commentary-v17.en-fr.tsv.gz,
Statmt-news_commentary-17-eng-hin,http://data.statmt.org/news-commentary/v17/training/news-commentary-v17.en-hi.tsv.gz,
Statmt-news_commentary-17-eng-ind,http://data.statmt.org/news-commentary/v17/training/news-commentary-v17.en-id.tsv.gz,
Statmt-news_commentary-17-eng-ita,http://data.statmt.org/news-commentary/v17/training/news-commentary-v17.en-it.tsv.gz,
Statmt-news_commentary-17-eng-jpn,http://data.statmt.org/news-commentary/v17/training/news-commentary-v17.en-ja.tsv.gz,
Statmt-news_commentary-17-eng-kaz,http://data.statmt.org/news-commentary/v17/training/news-commentary-v17.en-kk.tsv.gz,
Statmt-news_commentary-17-eng-nld,http://data.statmt.org/news-commentary/v17/training/news-commentary-v17.en-nl.tsv.gz,
Statmt-news_commentary-17-eng-por,http://data.statmt.org/news-commentary/v17/training/news-commentary-v17.en-pt.tsv.gz,
Statmt-news_commentary-17-eng-rus,http://data.statmt.org/news-commentary/v17/training/news-commentary-v17.en-ru.tsv.gz,
