B,M
6,7
3,3
3,3
6,6
6,6
6,7
3,6
6,7
1,1
3,9
3,3
6,6
6,1
7,1
1,1
5,6
1,1
7,7
7,7
1,1
3,1
6,1
7,6
6,6
6,1
6,6
6,6
5,5
1,1
3,3
6,6
9,9
3,3
6,1
6,6
6,6
6,6
6,6
5,5
6,6
7,6
1,1
1,3
9,3
6,6
9,9
1,1
6,6
1,3
1,1
