B,M
Legal,Legal
Legal,Legal
Legal,Legal
Legal,Legal
Legal,Legal
Legal,Legal
Legal,Legal
Legal,Legal
Legal,Legal
Legal,Legal
Legal,Legal
Legal,Legal
Legal,Legal
Legal,Legal
Legal,Legal
Didactic,Legal
Legal,Legal
Legal,Legal
Legal,Legal
Legal,Legal
Legal,Legal
Legal,Legal
Legal,Legal
Legal,Legal
Legal,Legal
Legal,Legal
Legal,Legal
Legal,Legal
Legal,Legal
Legal,Legal
Legal,Legal
Legal,Legal
Didactic,Legal
Legal,Legal
Legal,Legal
Legal,Legal
Legal,Legal
Legal,Legal
Legal,Legal
Legal,Legal
